Time (s), T1, T2, T3
0.0000,148.7784,148.6416,148.7784
1.5187,147.5685,147.3768,147.5685
3.0375,146.3702,146.1377,146.3702
4.5562,145.1834,144.9176,145.1834
6.0750,144.0080,143.7137,144.0080
7.5937,142.8436,142.5248,142.8437
9.1125,141.6902,141.3497,141.6904
10.6312,140.5476,140.1880,140.5479
12.1500,139.4157,139.0390,139.4161
13.6687,138.2943,137.9025,138.2949
15.1875,137.1834,136.7781,137.1841
16.7062,136.0829,135.6656,136.0837
18.2250,134.9927,134.5646,134.9936
19.7437,133.9126,133.4750,133.9137
21.2625,132.8427,132.3967,132.8439
22.7812,131.7828,131.3293,131.7842
24.3000,130.7329,130.2728,130.7343
25.8187,129.6928,129.2270,129.6944
27.3375,128.6626,128.1918,128.6642
28.8562,127.6420,127.1669,127.6437
30.3750,126.6310,126.1523,126.6328
31.8937,125.6296,125.1478,125.6315
33.4125,124.6376,124.1533,124.6396
34.9312,123.6551,123.1687,123.6571
36.4500,122.6818,122.1938,122.6838
37.9687,121.7177,121.2286,121.7198
39.4875,120.7628,120.2729,120.7649
41.0062,119.8169,119.3266,119.8191
42.5250,118.8800,118.3897,118.8823
44.0437,117.9520,117.4619,117.9543
45.5625,117.0329,116.5433,117.0352
47.0812,116.1225,115.6336,116.1248
48.6000,115.2207,114.7329,115.2230
50.1187,114.3276,113.8410,114.3299
51.6375,113.4430,112.9578,113.4453
53.1562,112.5668,112.0832,112.5691
54.6750,111.6989,111.2172,111.7013
56.1937,110.8394,110.3596,110.8417
57.7125,109.9881,109.5104,109.9904
59.2312,109.1449,108.6694,109.1473
60.7500,108.3098,107.8366,108.3121
62.2687,107.4827,107.0120,107.4850
63.7875,106.6636,106.1953,106.6659
65.3062,105.8522,105.3867,105.8545
66.8250,105.0487,104.5858,105.0510
68.3437,104.2529,103.7928,104.2551
69.8625,103.4647,103.0075,103.4669
71.3812,102.6841,102.2297,102.6863
72.9000,101.9109,101.4596,101.9131
74.4187,101.1452,100.6969,101.1474
75.9375,100.3869,99.9417,100.3891
77.4562,99.6359,99.1937,99.6380
78.9750,98.8921,98.4531,98.8942
80.4937,98.1554,97.7196,98.1576
82.0125,97.4259,96.9932,97.4280
83.5312,96.7034,96.2739,96.7055
85.0500,95.9878,95.5616,95.9899
86.5687,95.2792,94.8562,95.2812
88.0875,94.5773,94.1576,94.5794
89.6062,93.8823,93.4659,93.8843
91.1250,93.1939,92.7808,93.1959
92.6437,92.5122,92.1023,92.5142
94.1625,91.8371,91.4305,91.8390
95.6812,91.1685,90.7652,91.1704
97.2000,90.5063,90.1063,90.5082
