Time (s), T1, T2, T3
0.0000,148.0510,147.9849,148.0510
2.4300,146.1319,146.0387,146.1319
4.8600,144.2421,144.1293,144.2422
7.2900,142.3809,142.2528,142.3810
9.7200,140.5476,140.4074,140.5479
12.1500,138.7416,138.5920,138.7421
14.5800,136.9626,136.8057,136.9633
17.0100,135.2101,135.0479,135.2111
19.4400,133.4839,133.3179,133.4851
21.8700,131.7836,131.6151,131.7851
24.3000,130.1089,129.9390,130.1106
26.7300,128.4595,128.2891,128.4614
29.1600,126.8350,126.6650,126.8370
31.5900,125.2350,125.0660,125.2373
34.0200,123.6593,123.4919,123.6617
36.4500,122.1075,121.9421,122.1100
38.8800,120.5793,120.4163,120.5819
41.3100,119.0742,118.9140,119.0770
43.7400,117.5921,117.4349,117.5950
46.1700,116.1326,115.9786,116.1355
48.6000,114.6953,114.5446,114.6983
51.0300,113.2799,113.1328,113.2830
53.4600,111.8861,111.7426,111.8893
55.8900,110.5136,110.3738,110.5169
58.3200,109.1621,109.0260,109.1654
60.7500,107.8313,107.6989,107.8346
63.1800,106.5209,106.3921,106.5242
65.6100,105.2305,105.1055,105.2339
68.0400,103.9599,103.8385,103.9633
70.4700,102.7088,102.5910,102.7122
72.9000,101.4768,101.3627,101.4802
75.3300,100.2638,100.1531,100.2672
77.7600,99.0694,98.9622,99.0728
80.1900,97.8934,97.7895,97.8968
82.6200,96.7354,96.6349,96.7388
85.0500,95.5952,95.4979,95.5987
87.4800,94.4726,94.3784,94.4760
89.9100,93.3672,93.2761,93.3706
92.3400,92.2789,92.1908,92.2823
94.7700,91.2073,91.1221,91.2107
97.2000,90.1522,90.0698,90.1556
99.6300,89.1134,89.0337,89.1167
102.0600,88.0905,88.0135,88.0939
104.4900,87.0835,87.0090,87.0868
106.9200,86.0920,86.0200,86.0953
109.3500,85.1157,85.0461,85.1190
111.7800,84.1545,84.0872,84.1578
114.2100,83.2082,83.1431,83.2114
116.6400,82.2764,82.2136,82.2796
119.0700,81.3590,81.2983,81.3622
121.5000,80.4558,80.3971,80.4590
123.9300,79.5665,79.5098,79.5697
126.3600,78.6910,78.6361,78.6941
128.7900,77.8290,77.7759,77.8321
131.2200,76.9803,76.9290,76.9833
133.6500,76.1447,76.0951,76.1477
136.0800,75.3220,75.2740,75.3250
138.5100,74.5120,74.4657,74.5150
140.9400,73.7146,73.6697,73.7175
143.3700,72.9294,72.8861,72.9323
145.8000,72.1564,72.1145,72.1593
148.2300,71.3954,71.3548,71.3982
150.6600,70.6461,70.6069,70.6489
153.0900,69.9084,69.8704,69.9112
155.5200,69.1821,69.1454,69.1848
157.9500,68.4670,68.4315,68.4697
160.3800,67.7630,67.7286,67.7657
162.8100,67.0699,67.0366,67.0726
165.2400,66.3875,66.3553,66.3901
167.6700,65.7157,65.6845,65.7183
170.1000,65.0542,65.0240,65.0568
172.5300,64.4030,64.3738,64.4055
174.9600,63.7619,63.7335,63.7644
177.3900,63.1307,63.1032,63.1331
179.8200,62.5092,62.4826,62.5116
182.2500,61.8974,61.8716,61.8998
184.6800,61.2950,61.2700,61.2974
187.1100,60.7020,60.6777,60.7043
189.5400,60.1181,60.0946,60.1204
191.9700,59.5432,59.5205,59.5455
194.4000,58.9773,58.9552,58.9796
196.8300,58.4201,58.3987,58.4224
199.2600,57.8716,57.8508,57.8738
201.6900,57.3315,57.3114,57.3337
204.1200,56.7998,56.7803,56.8020
206.5500,56.2763,56.2574,56.2785
208.9800,55.7610,55.7426,55.7631
211.4100,55.2536,55.2357,55.2556
213.8400,54.7540,54.7367,54.7561
216.2700,54.2622,54.2454,54.2643
218.7000,53.7781,53.7617,53.7800
221.1300,53.3014,53.2855,53.3033
223.5600,52.8321,52.8166,52.8340
225.9900,52.3700,52.3550,52.3719
228.4200,51.9151,51.9005,51.9170
230.8500,51.4673,51.4531,51.4691
233.2800,51.0264,51.0126,51.0282
235.7100,50.5923,50.5789,50.5941
238.1400,50.1649,50.1519,50.1667
240.5700,49.7442,49.7315,49.7459
243.0000,49.3299,49.3176,49.3317
245.4300,48.9221,48.9101,48.9238
247.8600,48.5206,48.5089,48.5223
250.2900,48.1253,48.1140,48.1270
252.7200,47.7362,47.7251,47.7378
255.1500,47.3530,47.3423,47.3546
257.5800,46.9758,46.9653,46.9774
260.0100,46.6045,46.5942,46.6060
262.4400,46.2388,46.2289,46.2404
264.8700,45.8789,45.8692,45.8804
267.3000,45.5245,45.5151,45.5260
269.7300,45.1756,45.1664,45.1771
272.1600,44.8322,44.8232,44.8336
274.5900,44.4940,44.4853,44.4954
277.0200,44.1611,44.1525,44.1625
279.4500,43.8333,43.8250,43.8347
281.8800,43.5106,43.5025,43.5120
284.3100,43.1929,43.1850,43.1943
286.7400,42.8801,42.8724,42.8815
289.1700,42.5722,42.5647,42.5735
291.6000,42.2690,42.2617,42.2703
294.0300,41.9706,41.9634,41.9719
296.4600,41.6767,41.6697,41.6780
298.8900,41.5438,41.5369,41.5451
