% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 777.8 ms, time offset -18.37 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 335.9 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-02-12 T 09:53:25 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-3.705730160000e-01, 5.801172e-01, 3.321935e-01
-3.698104080000e-01, 5.862237e-01, 3.321935e-01
-3.690478000000e-01, 5.801172e-01, 3.321935e-01
-3.682851920000e-01, 5.556913e-01, 3.321935e-01
-3.675225840000e-01, 5.373718e-01, 3.321935e-01
-3.667599760000e-01, 5.373718e-01, 3.321935e-01
-3.659973680000e-01, 5.312653e-01, 3.309722e-01
-3.652347600000e-01, 5.495848e-01, 3.321935e-01
-3.644721520000e-01, 5.556913e-01, 3.334148e-01
-3.637095440000e-01, 5.312653e-01, 3.321935e-01
-3.629469360000e-01, 5.556913e-01, 3.321935e-01
-3.621843280000e-01, 5.740107e-01, 3.321935e-01
-3.614217200000e-01, 5.801172e-01, 3.321935e-01
-3.606591120000e-01, 5.862237e-01, 3.321935e-01
-3.598965040000e-01, 5.617977e-01, 3.321935e-01
-3.591338960000e-01, 5.617977e-01, 3.321935e-01
-3.583712880000e-01, 5.679042e-01, 3.321935e-01
-3.576086800000e-01, 5.556913e-01, 3.309722e-01
-3.568460720000e-01, 5.862237e-01, 3.309722e-01
-3.560834640000e-01, 5.679042e-01, 3.321935e-01
-3.553208560000e-01, 5.373718e-01, 3.321935e-01
-3.545582480000e-01, 5.495848e-01, 3.321935e-01
-3.537956400000e-01, 5.617977e-01, 3.321935e-01
-3.530330320000e-01, 5.740107e-01, 3.321935e-01
-3.522704240000e-01, 5.679042e-01, 3.321935e-01
-3.515078160000e-01, 5.617977e-01, 3.321935e-01
-3.507452080000e-01, 5.679042e-01, 3.321935e-01
-3.499826000000e-01, 5.495848e-01, 3.321935e-01
-3.492199920000e-01, 5.495848e-01, 3.334148e-01
-3.484573840000e-01, 5.556913e-01, 3.321935e-01
-3.476947760000e-01, 5.373718e-01, 3.321935e-01
-3.469321680000e-01, 5.801172e-01, 3.321935e-01
-3.461695600000e-01, 5.679042e-01, 3.321935e-01
-3.454069520000e-01, 5.373718e-01, 3.321935e-01
-3.446443440000e-01, 5.617977e-01, 3.321935e-01
-3.438817360000e-01, 5.862237e-01, 3.321935e-01
-3.431191280000e-01, 5.617977e-01, 3.334148e-01
-3.423565200000e-01, 5.312653e-01, 3.309722e-01
-3.415939120000e-01, 5.434783e-01, 3.321935e-01
-3.408313040000e-01, 5.617977e-01, 3.321935e-01
-3.400686960000e-01, 5.740107e-01, 3.321935e-01
-3.393060880000e-01, 5.801172e-01, 3.334148e-01
-3.385434800000e-01, 5.679042e-01, 3.321935e-01
-3.377808720000e-01, 5.617977e-01, 3.321935e-01
-3.370182640000e-01, 5.434783e-01, 3.321935e-01
-3.362556560000e-01, 5.617977e-01, 3.321935e-01
-3.354930480000e-01, 5.801172e-01, 3.321935e-01
-3.347304400000e-01, 5.801172e-01, 3.321935e-01
-3.339678320000e-01, 5.617977e-01, 3.321935e-01
-3.332052240000e-01, 5.434783e-01, 3.321935e-01
-3.324426160000e-01, 5.434783e-01, 3.321935e-01
-3.316800080000e-01, 5.617977e-01, 3.321935e-01
-3.309174000000e-01, 5.495848e-01, 3.321935e-01
-3.301547920000e-01, 5.617977e-01, 3.334148e-01
-3.293921840000e-01, 5.740107e-01, 3.321935e-01
-3.286295760000e-01, 5.556913e-01, 3.321935e-01
-3.278669680000e-01, 5.434783e-01, 3.321935e-01
-3.271043600000e-01, 5.679042e-01, 3.321935e-01
-3.263417520000e-01, 5.740107e-01, 3.334148e-01
-3.255791440000e-01, 5.679042e-01, 3.321935e-01
-3.248165360000e-01, 5.434783e-01, 3.334148e-01
-3.240539280000e-01, 5.373718e-01, 3.334148e-01
-3.232913200000e-01, 5.434783e-01, 3.334148e-01
-3.225287120000e-01, 5.617977e-01, 3.321935e-01
-3.217661040000e-01, 5.740107e-01, 3.321935e-01
-3.210034960000e-01, 5.801172e-01, 3.321935e-01
-3.202408880000e-01, 5.679042e-01, 3.321935e-01
-3.194782800000e-01, 5.373718e-01, 3.321935e-01
-3.187156720000e-01, 5.434783e-01, 3.334148e-01
-3.179530640000e-01, 5.679042e-01, 3.321935e-01
-3.171904560000e-01, 5.556913e-01, 3.334148e-01
-3.164278480000e-01, 5.495848e-01, 3.321935e-01
-3.156652400000e-01, 5.801172e-01, 3.321935e-01
-3.149026320000e-01, 5.434783e-01, 3.321935e-01
-3.141400240000e-01, 5.373718e-01, 3.321935e-01
-3.133774160000e-01, 5.373718e-01, 3.309722e-01
-3.126148080000e-01, 5.373718e-01, 3.321935e-01
-3.118522000000e-01, 5.373718e-01, 3.309722e-01
-3.110895920000e-01, 5.312653e-01, 3.309722e-01
-3.103269840000e-01, 5.373718e-01, 3.321935e-01
-3.095643760000e-01, 5.373718e-01, 3.321935e-01
-3.088017680000e-01, 5.373718e-01, 3.321935e-01
