% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 715.2 ms, time offset -18.37 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 335.9 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-02-12 T 11:14:36 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-3.392460240000e-01, 1.055203e+00, 3.309722e-01
-3.385447920000e-01, 1.057645e+00, 3.309722e-01
-3.378435600000e-01, 1.095506e+00, 3.309722e-01
-3.371423280000e-01, 1.105276e+00, 3.309722e-01
-3.364410960000e-01, 1.091842e+00, 3.309722e-01
-3.357398640000e-01, 1.057645e+00, 3.309722e-01
-3.350386320000e-01, 1.039326e+00, 3.309722e-01
-3.343374000000e-01, 1.057645e+00, 3.309722e-01
-3.336361680000e-01, 1.084514e+00, 3.309722e-01
-3.329349360000e-01, 1.039326e+00, 3.297509e-01
-3.322337040000e-01, 1.021006e+00, 3.309722e-01
-3.315324720000e-01, 1.025892e+00, 3.309722e-01
-3.308312400000e-01, 1.039326e+00, 3.309722e-01
-3.301300080000e-01, 1.034441e+00, 3.309722e-01
-3.294287760000e-01, 1.038105e+00, 3.309722e-01
-3.287275440000e-01, 1.058867e+00, 3.297509e-01
-3.280263120000e-01, 1.038105e+00, 3.321935e-01
-3.273250800000e-01, 1.030777e+00, 3.309722e-01
-3.266238480000e-01, 1.034441e+00, 3.297509e-01
-3.259226160000e-01, 1.019785e+00, 3.309722e-01
-3.252213840000e-01, 1.056424e+00, 3.309722e-01
-3.245201520000e-01, 1.101612e+00, 3.309722e-01
-3.238189200000e-01, 1.108940e+00, 3.309722e-01
-3.231176880000e-01, 1.093063e+00, 3.309722e-01
-3.224164560000e-01, 1.084514e+00, 3.321935e-01
-3.217152240000e-01, 1.108940e+00, 3.309722e-01
-3.210139920000e-01, 1.105276e+00, 3.309722e-01
-3.203127600000e-01, 1.067416e+00, 3.309722e-01
-3.196115280000e-01, 1.045432e+00, 3.309722e-01
-3.189102960000e-01, 1.105276e+00, 3.309722e-01
-3.182090640000e-01, 1.096727e+00, 3.309722e-01
-3.175078320000e-01, 1.053981e+00, 3.309722e-01
-3.168066000000e-01, 1.028334e+00, 3.309722e-01
-3.161053680000e-01, 1.047875e+00, 3.309722e-01
-3.154041360000e-01, 1.052760e+00, 3.309722e-01
-3.147029040000e-01, 1.022228e+00, 3.309722e-01
-3.140016720000e-01, 1.028334e+00, 3.309722e-01
-3.133004400000e-01, 1.033219e+00, 3.309722e-01
-3.125992080000e-01, 1.055203e+00, 3.309722e-01
-3.118979760000e-01, 1.095506e+00, 3.309722e-01
-3.111967440000e-01, 1.082071e+00, 3.297509e-01
-3.104955120000e-01, 1.063752e+00, 3.309722e-01
-3.097942800000e-01, 1.094284e+00, 3.321935e-01
-3.090930480000e-01, 1.099170e+00, 3.309722e-01
-3.083918160000e-01, 1.082071e+00, 3.309722e-01
-3.076905840000e-01, 1.058867e+00, 3.309722e-01
-3.069893520000e-01, 1.094284e+00, 3.309722e-01
-3.062881200000e-01, 1.074744e+00, 3.309722e-01
-3.055868880000e-01, 1.046654e+00, 3.309722e-01
-3.048856560000e-01, 1.110161e+00, 3.309722e-01
-3.041844240000e-01, 1.086957e+00, 3.309722e-01
-3.034831920000e-01, 1.039326e+00, 3.309722e-01
-3.027819600000e-01, 1.029555e+00, 3.321935e-01
-3.020807280000e-01, 1.045432e+00, 3.309722e-01
-3.013794960000e-01, 1.086957e+00, 3.321935e-01
-3.006782640000e-01, 1.113825e+00, 1.636541e-01
-2.999770320000e-01, 1.023449e+00, 1.221300e-03
-2.992758000000e-01, 9.782609e-01, 2.442599e-03
-2.985745680000e-01, 9.672692e-01, 2.442599e-03
-2.978733360000e-01, 9.245237e-01, 2.442599e-03
-2.971721040000e-01, 9.404006e-01, 2.442599e-03
-2.964708720000e-01, 9.550562e-01, 2.442599e-03
-2.957696400000e-01, 9.318515e-01, 3.663899e-03
-2.950684080000e-01, 9.440645e-01, 2.442599e-03
-2.943671760000e-01, 9.489497e-01, 2.442599e-03
-2.936659440000e-01, 9.355154e-01, 2.442599e-03
-2.929647120000e-01, 9.819248e-01, 1.221300e-03
-2.922634800000e-01, 9.831461e-01, 2.442599e-03
-2.915622480000e-01, 9.550562e-01, 2.442599e-03
-2.908610160000e-01, 9.391793e-01, 1.221300e-03
-2.901597840000e-01, 9.745970e-01, 2.442599e-03
-2.894585520000e-01, 1.007572e+00, 2.442599e-03
-2.887573200000e-01, 9.904739e-01, 2.442599e-03
-2.880560880000e-01, 9.892526e-01, 2.442599e-03
-2.873548560000e-01, 9.623840e-01, 3.663899e-03
-2.866536240000e-01, 9.367367e-01, 2.442599e-03
-2.859523920000e-01, 9.416219e-01, 2.442599e-03
-2.852511600000e-01, 9.562775e-01, 2.442599e-03
-2.845499280000e-01, 9.587201e-01, 2.442599e-03
-2.838486960000e-01, 9.452858e-01, 2.442599e-03
-2.831474640000e-01, 9.220811e-01, 3.663899e-03
-2.824462320000e-01, 9.196385e-01, 2.442599e-03
-2.817450000000e-01, 9.550562e-01, 2.442599e-03
-2.810437680000e-01, 9.245237e-01, 2.442599e-03
-2.803425360000e-01, 9.062042e-01, 2.442599e-03
-2.796413040000e-01, 9.208598e-01, 3.663899e-03
-2.789400720000e-01, 9.367367e-01, 2.442599e-03
-2.782388400000e-01, 9.452858e-01, 2.442599e-03
-2.775376080000e-01, 9.587201e-01, 2.442599e-03
-2.768363760000e-01, 9.855887e-01, 2.442599e-03
-2.761351440000e-01, 9.794822e-01, 2.442599e-03
-2.754339120000e-01, 9.404006e-01, 2.442599e-03
-2.747326800000e-01, 9.025403e-01, 3.663899e-03
-2.740314480000e-01, 9.233024e-01, 2.442599e-03
-2.733302160000e-01, 9.404006e-01, 2.442599e-03
-2.726289840000e-01, 9.489497e-01, 2.442599e-03
-2.719277520000e-01, 9.794822e-01, 2.442599e-03
