Distance_(pixels),Gray_Value
0,8.000
1,7.991
2,7.981
3,7.972
4,7.963
5,7.954
6,7.944
7,8.268
8,11.591
9,11.583
10,12.481
11,12.565
12,13.518
13,14.385
14,14.204
15,14.194
16,14.136
17,12.844
18,11.834
19,9.826
20,8.002
21,6.002
22,4.205
23,2.881
24,4.332
25,4.000
26,4.333
27,4.333
28,4.666
29,4.667
30,5.000
31,5.000
32,5.530
33,8.172
34,13.640
35,19.648
36,24.770
37,28.784
38,31.446
39,33.145
40,33.962
41,34.573
42,35.166
43,34.138
44,31.721
45,27.702
46,23.533
47,20.238
48,11.130
49,11.120
50,10.132
51,9.963
52,8.978
53,8.480
54,8.001
55,7.680
56,7.839
57,7.667
58,7.667
59,7.667
60,7.667
61,7.667
62,7.999
63,8.000
64,10.869
65,14.324
66,18.654
67,24.317
68,29.614
69,33.082
70,35.308
71,36.312
72,38.327
73,37.884
74,37.649
75,36.947
76,36.631
77,35.624
78,35.611
79,35.334
80,36.404
81,35.088
82,32.755
83,30.164
84,27.011
85,24.343
86,22.279
87,20.599
88,11.700
89,10.397
90,9.669
91,8.671
92,9.515
93,11.188
94,12.489
95,13.754
96,23.847
97,28.675
98,35.269
99,39.952
100,42.434
101,45.149
102,48.578
103,51.321
104,56.274
105,58.297
106,58.640
107,57.659
108,53.022
109,46.672
110,39.994
111,35.623
112,30.653
113,27.558
114,23.851
115,21.419
116,19.737
117,18.092
118,15.163
119,12.808
120,8.688
121,8.335
122,8.333
123,8.333
124,8.665
125,8.667
126,8.667
127,8.667
128,8.483
129,9.467
130,11.323
131,13.110
132,13.332
133,13.103
134,12.338
135,12.085
136,13.142
137,14.124
138,14.111
139,15.087
140,16.363
141,17.355
142,17.352
143,17.665
144,16.673
145,17.320
146,18.309
147,18.664
148,17.673
149,16.296
150,14.677
151,13.011
152,10.007
153,9.586
154,9.574
155,9.997
156,10.993
157,11.000
158,11.662
159,12.136
160,15.128
161,15.157
162,14.670
163,14.667
164,14.152
165,14.139
166,13.928
167,13.457
168,11.900
169,11.310
170,11.370
171,13.154
172,16.494
173,18.439
174,17.397
175,16.332
176,12.915
177,11.244
178,8.778
179,6.389
180,5.011
181,4.651
182,4.630
183,5.300
184,4.770
185,4.998
186,5.000
187,5.266
188,5.994
189,6.248
190,6.241
191,6.232
192,6.002
193,6.000
194,6.992
195,7.000
196,7.992
197,8.000
198,8.992
199,9.000
200,14.471
201,15.519
202,16.400
203,16.426
204,15.453
205,11.599
206,8.692
207,5.776
208,4.750
209,4.423
210,3.417
211,3.065
212,2.377
213,1.710
214,1.685
215,1.673
216,2.657
217,2.670
218,2.000
219,1.340
220,1.994
221,4.357
222,10.717
223,16.409
224,27.669
225,32.454
226,38.167
227,42.138
228,42.882
229,43.357
230,43.719
231,45.308
232,41.031
233,39.821
234,37.633
235,35.417
236,34.808
237,34.366
238,34.847
239,34.626
240,32.064
241,31.414
242,30.699
243,27.945
244,22.966
245,16.402
246,10.305
247,5.950
248,1.284
249,1.461
250,1.994
251,2.989
252,6.957
253,13.604
254,23.247
255,31.603
256,37.894
257,41.092
258,46.276
259,50.948
260,54.821
261,57.251
262,59.170
263,59.188
264,58.892
265,58.401
266,58.383
267,58.197
268,58.356
269,58.016
270,58.000
271,57.664
272,56.349
273,53.368
274,49.179
275,47.025
276,44.035
277,39.489
278,33.455
279,27.927
280,21.351
281,18.960
282,20.060
283,21.977
284,25.293
285,29.614
286,35.245
287,39.604
288,48.446
289,52.509
290,58.383
291,63.474
292,68.505
293,72.426
294,74.365
295,75.145
296,75.258
297,73.605
298,72.587
299,70.262
300,67.663
301,65.783
302,62.847
303,61.864
304,54.200
305,50.188
306,43.532
307,36.841
308,28.176
309,21.742
310,16.002
311,12.329
312,10.542
313,10.765
314,12.702
315,16.367
316,22.277
317,29.589
318,36.937
319,41.619
320,47.280
321,49.653
322,52.303
323,54.634
324,55.653
325,56.644
326,55.680
327,55.347
328,56.612
329,56.621
330,56.611
331,56.909
332,57.230
333,57.195
334,57.210
335,56.802
336,52.106
337,48.728
338,44.299
339,38.529
340,31.887
341,27.228
342,24.265
343,20.953
344,14.771
345,14.767
346,15.434
347,13.909
348,13.634
349,14.119
350,19.043
351,22.859
352,37.894
353,44.078
354,52.903
355,57.122
356,58.498
357,57.260
358,57.095
359,57.482
360,54.491
361,52.047
362,48.737
363,46.634
364,45.718
365,43.869
366,39.459
367,36.117
368,24.652
369,17.911
370,11.017
371,6.121
372,3.194
373,2.049
374,1.193
375,0.347
376,1.973
377,2.000
378,2.000
379,2.984
380,3.000
381,3.984
382,4.000
383,4.984
384,5.328
385,5.333
386,5.333
387,5.333
388,5.661
389,5.667
390,5.667
391,5.667
392,5.667
393,5.457
394,5.663
395,5.451
396,5.663
397,5.445
398,5.663
399,5.439
400,4.680
401,4.433
402,4.663
403,4.427
404,4.662
405,4.421
406,4.662
407,4.339
408,2.805
409,1.686
410,1.667
411,1.667
412,2.358
413,4.374
414,7.009
415,9.102
416,15.465
417,18.511
418,22.805
419,26.796
420,31.799
421,36.780
422,40.392
423,42.708
424,45.008
425,46.331
426,46.970
427,46.345
428,45.000
429,43.018
430,40.709
431,38.704
432,40.302
433,37.365
434,32.699
435,26.369
436,21.619
437,17.260
438,14.514
439,14.345
440,15.351
441,15.715
442,18.811
443,23.403
444,31.148
445,39.910
446,48.139
447,54.436
448,63.722
449,68.250
450,73.345
451,77.969
452,81.330
453,83.877
454,85.185
455,85.909
456,87.015
457,86.626
458,86.418
459,85.437
460,84.500
461,83.698
462,82.015
463,80.687
464,75.778
465,70.694
466,64.766
467,57.912
468,51.789
469,44.033
470,37.023
471,31.563
472,27.936
473,29.878
474,35.895
475,44.697
476,54.624
477,64.846
478,74.010
479,79.312
480,82.419
481,85.335
482,87.269
483,88.775
484,88.790
485,88.978
486,88.510
487,88.189
488,91.037
489,89.479
490,89.281
491,89.779
492,91.337
493,89.250
494,85.083
495,81.003
496,74.955
497,67.239
498,57.306
499,49.983
500,45.804
501,43.774
502,42.364
503,42.007
504,46.347
505,49.633
506,54.493
507,60.309
508,66.785
509,72.406
510,76.359
511,79.406
512,80.508
513,82.538
514,84.518
515,85.944
516,86.362
517,86.564
518,86.743
519,86.451
520,90.367
521,89.856
522,89.942
523,90.581
524,91.003
525,89.733
526,85.474
527,80.981
528,72.418
529,66.693
530,58.195
531,48.879
532,42.152
533,37.178
534,34.143
535,33.751
536,37.311
537,43.884
538,55.675
539,67.347
540,77.760
541,82.890
542,86.594
543,87.680
544,92.226
545,92.023
546,91.024
547,89.478
548,89.384
549,88.114
550,88.623
551,87.463
552,87.951
553,87.882
554,86.979
555,84.676
556,82.014
557,77.769
558,73.437
559,69.869
560,57.958
561,52.588
562,46.680
563,40.435
564,35.923
565,31.668
566,29.791
567,29.750
568,36.740
569,39.211
570,42.494
571,45.498
572,50.024
573,54.384
574,57.402
575,60.061
576,60.003
577,61.514
578,62.410
579,63.311
580,63.743
581,64.722
582,64.994
583,65.587
584,64.161
585,62.351
586,60.202
587,56.655
588,52.982
589,48.478
590,44.561
591,42.523
592,40.881
593,38.238
594,35.243
595,31.603
596,28.090
597,25.402
598,23.709
599,22.692
600,19.744
601,21.023
602,22.114
603,23.979
604,27.969
605,31.766
606,36.777
607,39.932
608,43.403
609,45.637
610,49.028
611,52.472
612,56.451
613,59.366
614,62.395
615,63.437
616,62.820
617,63.458
618,63.481
619,63.725
620,62.118
621,60.218
622,57.331
623,54.835
624,50.380
625,45.465
626,39.686
627,35.644
628,33.801
629,33.669
630,36.099
631,39.845
632,48.058
633,51.944
634,56.865
635,62.837
636,69.593
637,76.803
638,82.512
639,85.854
640,91.462
641,93.893
642,96.880
643,99.532
644,100.265
645,100.962
646,100.975
647,99.703
648,99.667
649,99.664
650,99.337
651,96.732
652,94.374
653,90.709
654,87.083
655,83.718
656,74.390
657,68.631
658,60.155
659,54.914
660,52.258
661,53.988
662,57.240
663,62.057
664,69.634
665,74.922
666,80.453
667,87.180
668,94.746
669,99.802
670,104.333
671,107.023
672,112.290
673,112.510
674,112.830
675,113.805
676,114.079
677,114.800
678,115.084
679,116.112
680,116.460
681,114.746
682,113.733
683,112.059
684,110.490
685,105.918
686,99.943
687,93.963
688,85.534
689,76.319
690,65.506
691,59.117
692,58.675
693,60.527
694,63.809
695,68.468
696,78.511
697,86.552
698,94.952
699,102.821
700,108.714
701,112.729
702,117.845
703,121.856
704,123.124
705,124.944
706,125.796
707,127.141
708,128.083
709,129.113
710,130.668
711,130.345
712,127.999
713,126.319
714,124.842
715,123.824
716,123.228
717,118.546
718,109.253
719,100.914
720,84.191
721,74.858
722,67.151
723,65.831
724,71.030
725,80.005
726,90.433
727,98.705
728,112.024
729,120.329
730,125.639
731,129.994
732,131.331
733,132.509
734,133.572
735,134.436
736,135.425
737,135.451
738,135.337
739,134.909
740,134.578
741,133.928
742,133.591
743,132.941
744,131.277
745,129.558
746,127.935
747,125.334
748,121.255
749,111.857
750,98.973
751,88.857
752,75.185
753,71.193
754,71.677
755,77.154
756,86.687
757,98.587
758,109.600
759,118.634
760,127.346
761,131.168
762,132.263
763,133.538
764,134.559
765,134.584
766,134.956
767,134.644
768,137.101
769,137.173
770,137.119
771,136.135
772,135.812
773,135.146
774,134.843
775,135.203
776,137.024
777,136.815
778,135.764
779,133.920
780,130.308
781,121.555
782,109.243
783,99.088
784,85.212
785,82.972
786,84.537
787,90.411
788,100.089
789,111.125
790,122.396
791,130.766
792,136.046
793,139.090
794,140.676
795,141.787
796,141.720
797,141.579
798,141.359
799,141.077
800,141.575
801,141.208
802,140.917
803,140.073
804,139.394
805,138.721
806,138.197
807,138.024
808,137.882
809,135.907
810,134.385
811,132.573
812,128.646
813,121.244
814,110.657
815,101.089
816,84.623
817,81.219
818,82.369
819,87.053
820,97.073
821,108.840
822,120.783
823,129.192
824,135.995
825,139.626
826,141.539
827,142.114
828,143.291
829,143.750
830,143.652
831,142.898
832,140.353
833,139.920
834,139.247
835,138.883
836,139.090
837,139.084
838,139.390
839,139.386
840,139.692
841,136.613
842,132.811
843,124.876
844,114.014
845,99.036
846,81.741
847,68.863
848,59.734
849,57.391
850,59.843
851,68.286
852,83.117
853,98.674
854,110.493
855,119.560
856,130.163
857,133.977
858,135.699
859,137.380
860,139.359
861,141.344
862,142.674
863,144.297
864,145.940
865,144.636
866,142.262
867,139.528
868,136.484
869,134.650
870,131.989
871,128.329
872,123.705
873,118.688
874,114.157
875,107.957
876,100.682
877,90.094
878,78.499
879,69.404
880,56.980
881,55.042
882,56.977
883,65.344
884,78.768
885,93.798
886,105.214
887,112.385
888,117.902
889,119.234
890,118.660
891,118.104
892,119.404
893,120.932
894,122.441
895,123.847
896,124.721
897,124.483
898,123.128
899,121.653
900,120.061
901,118.894
902,117.979
903,115.738
904,110.397
905,104.261
906,97.183
907,90.212
908,81.514
909,71.850
910,62.014
911,54.547
912,47.640
913,49.464
914,55.369
915,64.356
916,75.557
917,87.611
918,97.450
919,103.354
920,107.884
921,109.950
922,112.100
923,113.110
924,113.646
925,113.542
926,112.968
927,111.584
928,109.398
929,109.836
930,109.817
931,109.178
932,107.418
