Distance_(pixels),Gray_Value
0,5.000
1,5.035
2,5.070
3,5.105
4,4.071
5,4.087
6,3.772
7,3.789
8,3.807
9,3.824
10,3.842
11,3.859
12,2.669
13,2.667
14,2.667
15,2.667
16,2.667
17,2.667
18,2.667
19,2.667
20,2.667
21,2.667
22,2.667
23,2.667
24,2.667
25,2.667
26,2.667
27,2.667
28,2.667
29,2.667
30,2.667
31,2.667
32,2.667
33,2.667
34,2.998
35,3.000
36,2.006
37,2.643
38,2.665
39,3.676
40,4.329
41,5.046
42,5.332
43,5.582
44,4.368
45,4.383
46,4.406
47,4.429
48,5.061
49,5.095
50,5.124
51,5.153
52,8.069
53,8.139
54,8.185
55,8.232
56,8.609
57,8.658
58,8.705
59,8.752
60,8.766
61,8.800
62,8.835
63,8.870
64,8.905
65,8.940
66,8.975
67,9.010
68,7.931
69,7.942
70,7.966
71,7.989
72,8.012
73,8.036
74,8.059
75,7.753
76,6.563
77,6.248
78,6.274
79,6.303
80,6.201
81,6.222
82,6.246
83,6.120
84,5.149
85,4.984
86,5.006
87,5.029
88,4.875
89,4.890
90,4.907
91,4.596
92,3.023
93,2.671
94,2.667
95,2.667
96,2.667
97,2.667
98,2.667
99,2.667
100,2.667
101,2.667
102,2.667
103,2.667
104,2.667
105,2.667
106,2.667
107,2.667
108,2.667
109,2.667
110,2.667
111,2.667
112,2.667
113,2.667
114,2.994
115,3.000
116,3.028
117,3.046
118,3.064
119,3.081
120,3.426
121,3.450
122,3.467
123,3.812
124,5.797
125,6.180
126,6.204
127,6.221
128,6.317
129,6.668
130,6.698
131,6.817
132,9.235
133,9.319
134,9.354
135,9.625
136,9.879
137,9.924
138,9.965
139,10.006
140,11.385
141,11.443
142,11.473
143,11.502
144,11.531
145,11.560
146,11.589
147,11.618
148,11.648
149,11.677
150,11.706
151,11.735
152,11.764
153,11.793
154,11.822
155,11.852
156,8.715
157,8.419
158,8.353
159,8.375
160,8.332
161,8.095
162,8.057
163,7.808
164,5.721
165,5.630
166,5.310
167,5.008
168,5.000
169,5.000
170,5.000
171,5.000
172,2.728
173,2.667
174,2.667
175,2.667
176,2.667
177,2.667
178,2.667
179,2.667
180,2.667
181,2.667
182,2.667
183,2.667
184,2.667
185,2.667
186,2.667
187,2.667
188,1.695
189,1.891
190,2.206
191,3.418
192,5.395
193,6.631
194,7.048
195,8.371
196,10.830
197,11.107
198,11.130
199,11.147
200,11.487
201,11.526
202,11.857
203,12.062
204,14.901
205,15.757
206,17.290
207,18.937
208,20.236
209,22.336
210,23.652
211,23.961
212,24.255
213,24.649
214,24.724
215,24.788
216,24.924
217,24.919
218,24.980
219,24.990
220,25.058
221,24.849
222,24.904
223,24.968
224,25.032
225,25.096
226,25.160
227,25.224
228,24.323
229,24.340
230,24.364
231,24.387
232,24.410
233,24.434
234,24.457
235,24.480
236,22.254
237,20.955
238,20.938
239,20.003
240,19.354
241,18.395
242,18.238
243,17.769
244,15.040
245,14.036
246,13.105
247,12.465
248,11.700
249,10.313
250,10.288
251,9.871
252,3.586
253,3.013
254,3.000
255,3.000
256,3.000
257,3.000
258,3.000
259,3.000
260,3.000
261,3.000
262,3.000
263,3.000
264,3.000
265,3.000
266,3.000
267,3.000
268,3.220
269,3.329
270,3.564
271,3.663
272,4.470
273,4.908
274,5.503
275,5.920
276,9.817
277,10.491
278,12.037
279,13.690
280,15.136
281,17.052
282,18.154
283,18.887
284,20.508
285,21.901
286,22.326
287,23.649
288,23.800
289,24.823
290,25.568
291,26.532
292,28.484
293,29.699
294,30.672
295,32.020
296,32.534
297,33.656
298,33.797
299,34.600
300,36.166
301,36.238
302,36.406
303,36.402
304,36.580
305,36.566
306,36.754
307,36.730
308,36.344
309,36.298
310,36.525
311,36.497
312,36.734
313,36.696
314,36.943
315,37.056
316,35.991
317,36.140
318,36.206
319,36.264
320,36.323
321,36.064
322,36.106
323,35.736
324,35.673
325,34.588
326,32.897
327,30.433
328,28.952
329,26.713
330,25.527
331,24.309
332,19.585
333,17.863
334,17.356
335,16.206
336,14.943
337,13.845
338,12.847
339,12.451
340,9.813
341,9.035
342,8.380
343,8.334
344,7.712
345,7.363
346,7.051
347,6.730
348,7.698
349,8.619
350,9.929
351,11.262
352,12.595
353,14.408
354,15.980
355,17.331
356,21.893
357,23.661
358,25.659
359,28.055
360,30.402
361,32.099
362,34.110
363,35.507
364,38.160
365,39.931
366,41.644
367,43.357
368,45.739
369,47.766
370,50.624
371,51.604
372,55.451
373,56.986
374,58.655
375,60.669
376,63.332
377,64.336
378,67.061
379,67.769
380,69.725
381,70.613
382,71.438
383,71.530
384,72.518
385,73.564
386,73.670
387,73.716
388,71.681
389,71.613
390,71.621
391,71.425
392,71.427
393,71.494
394,71.564
395,71.634
396,70.765
397,70.479
398,69.886
399,69.588
400,68.712
401,67.460
402,67.398
403,66.835
404,63.715
405,61.758
406,60.639
407,58.533
408,56.265
409,53.943
410,52.909
411,51.396
412,49.975
413,48.055
414,45.553
415,42.794
416,39.923
417,36.936
418,34.095
419,32.727
420,26.564
421,24.310
422,22.351
423,20.329
424,19.183
425,17.379
426,15.902
427,15.913
428,17.956
429,19.585
430,21.347
431,24.173
432,26.797
433,31.282
434,33.237
435,35.313
436,40.485
437,43.243
438,46.416
439,49.956
440,54.035
441,57.040
442,60.155
443,62.040
444,69.466
445,74.689
446,80.549
447,87.502
448,94.405
449,99.299
450,104.349
451,106.226
452,107.010
453,107.305
454,109.364
455,110.972
456,113.191
457,114.507
458,115.962
459,117.328
460,119.977
461,119.960
462,120.919
463,121.429
464,123.254
465,125.528
466,128.381
467,130.161
468,133.621
469,134.237
470,135.015
471,134.283
472,134.565
473,133.932
474,133.734
475,132.698
476,131.909
477,130.900
478,129.992
479,129.239
480,129.678
481,136.092
482,144.924
483,152.478
484,151.309
485,151.119
486,154.576
487,159.723
488,165.080
489,167.528
490,167.845
491,165.922
492,161.916
493,163.568
494,169.144
495,176.604
496,183.138
497,186.106
498,184.327
499,181.677
500,174.811
501,178.509
502,186.622
503,197.268
504,206.441
505,210.663
506,212.500
507,211.766
508,183.585
509,180.350
510,183.207
511,191.144
512,193.076
513,188.169
514,182.517
515,179.066
516,189.641
517,189.701
518,186.626
519,180.893
520,173.229
521,161.705
522,151.437
523,146.376
524,145.747
525,147.810
526,150.527
527,151.805
528,152.882
529,152.566
530,151.835
531,151.218
532,148.578
533,145.813
534,142.662
535,141.018
536,140.618
537,139.136
538,136.654
539,134.158
540,132.957
541,133.705
542,134.062
543,133.543
544,132.655
545,130.418
546,128.054
547,126.137
548,122.324
549,119.514
550,119.151
551,119.830
552,122.354
553,122.099
554,119.511
555,115.667
556,115.241
557,111.991
558,107.347
559,102.190
560,98.466
561,95.947
562,94.336
563,94.128
564,91.311
565,88.571
566,84.441
567,81.022
568,78.112
569,72.807
570,67.306
571,61.741
572,58.003
573,54.685
574,52.310
575,50.258
576,48.861
577,45.387
578,40.515
579,35.489
580,27.629
581,25.163
582,23.507
583,21.268
584,19.035
585,17.682
586,16.444
587,15.000
588,13.557
589,13.803
590,14.568
591,15.379
592,16.293
593,17.622
594,18.687
595,19.845
596,27.003
597,29.250
598,30.643
599,32.438
600,34.770
601,36.241
602,37.479
603,39.318
604,41.687
605,43.803
606,44.730
607,46.816
608,48.643
609,50.068
610,52.069
611,52.918
612,52.231
613,52.307
614,53.001
615,53.304
616,53.617
617,53.789
618,54.434
619,53.906
620,55.300
621,55.404
622,54.827
623,53.992
624,53.254
625,52.130
626,51.313
627,50.460
628,51.128
629,51.342
630,51.464
631,51.275
632,51.358
633,51.475
634,51.591
635,51.708
636,50.922
637,50.212
638,50.232
639,49.429
640,48.402
641,47.980
642,46.973
643,46.974
644,43.547
645,42.706
646,41.884
647,40.521
648,39.344
649,38.193
650,37.240
651,35.689
652,29.134
653,27.259
654,25.238
655,23.864
656,21.830
657,19.250
658,17.366
659,15.853
660,11.940
661,10.621
662,9.028
663,8.566
664,7.156
665,6.701
666,5.769
667,5.467
668,4.746
669,4.667
670,4.667
671,4.667
672,4.667
673,4.667
674,5.265
675,5.333
676,7.812
677,8.121
678,8.443
679,8.501
680,8.556
681,8.577
682,8.595
683,9.806
684,16.187
685,19.026
686,19.924
687,20.633
688,22.842
689,24.030
690,25.456
691,26.494
692,27.896
693,28.145
694,28.774
695,28.904
696,28.968
697,29.032
698,29.096
699,29.227
700,30.343
701,30.769
702,30.871
703,30.947
704,31.023
705,31.099
706,31.175
707,31.250
708,31.326
709,31.402
710,31.478
711,31.553
712,31.629
713,31.705
714,31.781
715,31.857
716,31.480
717,31.014
718,31.007
719,29.999
720,29.552
721,28.847
722,28.060
723,27.928
724,26.602
725,25.890
726,24.469
727,22.389
728,21.093
729,19.668
730,18.647
731,17.555
732,14.868
733,13.314
734,13.171
735,12.215
736,12.008
737,10.724
738,10.492
739,9.696
740,6.670
741,5.739
742,5.660
743,5.368
744,4.756
745,4.697
746,4.672
747,4.391
748,4.951
749,4.118
750,4.035
751,3.120
752,3.045
753,2.122
754,2.111
755,2.016
756,2.262
757,2.249
758,2.333
759,2.286
760,2.379
761,2.322
762,2.424
763,2.460
764,5.935
765,6.426
766,7.106
767,7.761
768,8.540
769,9.462
770,10.170
771,11.184
772,15.456
773,16.360
774,16.751
775,16.980
776,17.512
777,17.874
778,17.953
779,17.999
780,18.989
781,19.192
782,19.268
783,19.344
784,19.419
785,19.495
786,19.571
787,19.647
788,19.723
789,19.798
790,19.874
791,19.950
792,20.026
793,20.102
794,20.177
795,20.253
796,18.371
797,17.584
798,18.125
799,17.679
800,17.355
801,17.337
802,17.058
803,17.017
804,15.869
805,15.673
806,14.875
807,14.681
808,13.575
809,13.346
810,12.749
811,11.499
812,11.625
813,10.955
814,10.105
815,9.560
816,8.769
817,8.413
818,7.753
819,7.091
820,5.143
821,4.668
822,4.623
823,4.606
824,4.297
825,3.946
826,4.048
827,4.048
828,4.165
829,4.167
830,4.150
831,4.132
832,4.115
833,4.097
834,4.080
835,4.062
836,4.045
837,4.028
838,4.010
839,3.993
840,3.975
841,3.958
842,3.940
843,4.213
844,5.855
845,6.595
846,7.360
847,7.643
848,8.680
849,9.270
850,10.338
851,10.647
852,11.451
853,12.118
854,12.227
855,12.560
856,12.629
857,12.938
858,12.998
859,13.282
860,15.853
861,16.230
862,16.206
863,16.177
864,16.148
865,16.119
866,16.089
867,16.060
868,16.293
869,16.333
870,16.333
871,16.333
872,16.333
873,16.333
874,16.333
875,16.333
876,15.663
877,15.554
878,15.548
879,15.434
880,15.406
881,15.224
882,15.191
883,15.185
884,15.646
885,15.545
886,14.639
887,14.338
888,13.428
889,12.952
890,12.493
891,11.960
892,9.448
893,8.870
894,8.819
895,8.508
896,8.439
897,8.326
898,8.294
899,7.989
900,6.201
901,5.908
902,5.891
903,5.645
904,5.585
905,5.513
906,5.487
907,5.222
908,4.448
909,4.333
910,4.333
911,4.333
912,4.333
913,4.333
914,4.333
915,4.330
916,3.459
917,3.308
918,3.296
919,3.284
920,3.273
921,3.261
922,3.249
923,3.238
924,4.039
925,4.155
926,4.138
927,4.120
928,4.103
929,4.085
930,4.068
931,4.050
932,4.890
933,5.015
934,4.998
935,4.980
936,4.963
937,4.945
938,4.928
939,5.075
940,5.776
941,6.030
942,6.033
943,6.009
944,5.986
945,5.963
946,5.939
947,5.916
948,5.893
949,5.869
950,5.846
951,5.823
952,5.799
953,5.776
954,5.753
955,5.729
956,5.137
957,4.941
958,4.911
959,4.894
960,4.876
961,4.859
962,4.841
963,4.824
964,4.806
965,4.789
966,4.771
967,4.754
968,4.736
969,4.719
970,4.701
971,4.405
972,2.347
973,2.000
974,2.000
975,2.000
976,2.000
977,2.000
978,2.000
979,2.000
980,2.000
981,2.000
982,2.000
983,2.000
984,2.000
985,2.000
986,2.000
987,2.000
988,2.000
989,2.000
990,2.000
991,2.000
992,2.000
993,2.000
994,2.000
995,2.000
996,2.000
997,2.000
998,2.000
999,2.000
1000,2.000
1001,2.000
1002,2.000
1003,2.000
1004,2.000
1005,2.000
1006,2.000
1007,2.000
1008,2.000
1009,2.000
1010,2.000
1011,2.000
1012,2.000
1013,2.000
1014,2.000
1015,2.000
1016,2.000
1017,2.000
1018,2.000
1019,2.000
1020,2.000
1021,2.000
1022,2.000
1023,2.000
1024,2.000
1025,2.000
1026,2.000
1027,2.000
1028,2.000
1029,2.000
