Distance_(pixels),Gray_Value
0,8.667
1,8.667
2,8.667
3,8.667
4,8.667
5,8.667
6,8.667
7,8.667
8,8.667
9,8.667
10,8.667
11,8.667
12,8.667
13,8.667
14,8.667
15,8.667
16,8.667
17,8.667
18,8.667
19,8.667
20,8.667
21,9.156
22,9.333
23,9.333
24,9.001
25,8.667
26,8.667
27,8.667
28,8.667
29,8.667
30,8.667
31,8.667
32,8.667
33,8.667
34,8.667
35,8.667
36,8.667
37,8.667
38,8.667
39,8.667
40,8.667
41,7.770
42,7.333
43,7.333
44,7.333
45,7.333
46,7.333
47,7.333
48,7.333
49,7.333
50,7.127
51,6.522
52,6.333
53,6.333
54,6.333
55,6.333
56,6.333
57,6.333
58,6.333
59,6.328
60,6.062
61,5.044
62,4.260
63,4.414
64,5.220
65,5.971
66,7.302
67,8.506
68,10.061
69,12.029
70,14.645
71,18.327
72,21.142
73,23.084
74,24.995
75,26.848
76,29.129
77,31.459
78,33.583
79,34.847
80,35.250
81,37.158
82,38.899
83,39.048
84,39.249
85,39.333
86,39.333
87,39.706
88,40.000
89,40.000
90,39.203
91,39.019
92,38.975
93,38.210
94,37.808
95,36.570
96,35.669
97,34.647
98,33.676
99,32.808
100,31.525
101,28.881
102,25.160
103,22.652
104,20.244
105,18.578
106,17.186
107,15.336
108,13.895
109,12.566
110,11.082
111,10.181
112,9.583
113,9.290
114,8.734
115,9.670
116,12.113
117,16.653
118,21.555
119,26.332
120,32.239
121,40.523
122,48.732
123,54.090
124,58.554
125,63.522
126,67.765
127,71.372
128,73.111
129,74.605
130,74.946
131,75.478
132,76.000
133,76.575
134,78.136
135,80.065
136,82.946
137,86.850
138,90.624
139,95.450
140,99.414
141,102.004
142,102.300
143,103.311
144,104.071
145,102.081
146,100.177
147,98.764
148,97.290
149,96.276
150,96.180
151,95.976
152,96.741
153,98.793
154,100.451
155,102.534
156,105.622
157,108.664
158,108.907
159,108.744
160,108.988
161,109.118
162,109.227
163,110.543
164,112.805
165,114.766
166,116.662
167,118.318
168,119.090
169,119.075
170,116.995
171,115.647
172,115.022
173,112.544
174,110.451
175,107.955
176,105.386
177,103.291
178,102.194
179,101.399
180,101.200
181,101.818
182,103.523
183,100.065
184,96.715
185,93.425
186,90.587
187,88.021
188,87.415
189,86.909
190,88.235
191,89.833
192,93.974
193,95.979
194,97.663
195,98.646
196,98.495
197,98.681
198,97.884
199,97.151
200,96.173
201,95.169
202,92.887
203,88.880
204,84.713
205,79.393
206,73.075
207,67.626
208,61.434
209,55.446
210,49.938
211,46.924
212,42.568
213,38.464
214,35.129
215,31.901
216,29.430
217,27.024
218,23.981
219,20.833
220,18.118
221,15.083
222,13.371
223,13.422
224,13.667
225,13.965
226,14.860
227,15.000
228,15.860
229,16.333
230,16.805
231,18.233
232,21.215
233,22.352
234,23.387
235,25.079
236,26.973
237,28.409
238,29.912
239,30.788
240,31.333
241,32.409
242,34.159
243,35.341
244,36.135
245,36.926
246,36.883
247,37.289
248,37.297
249,37.702
250,38.000
251,38.017
252,38.617
253,38.060
254,37.400
255,36.418
256,35.665
257,34.640
258,33.520
259,32.877
260,32.078
261,31.114
262,25.543
263,20.451
264,17.746
265,15.731
266,14.330
267,12.393
268,10.519
269,8.452
270,6.746
271,5.632
272,7.285
273,7.830
274,7.667
275,7.393
276,6.184
277,5.912
278,6.000
279,6.355
280,7.000
281,7.000
282,8.235
283,8.667
284,8.667
285,8.667
286,8.667
287,8.667
288,8.667
289,7.675
290,7.000
291,7.000
292,7.000
293,7.000
294,7.000
295,7.000
296,7.000
297,7.000
298,7.000
299,7.000
300,7.000
301,7.000
302,7.000
303,7.000
304,7.000
305,7.000
306,7.000
307,7.000
308,7.000
309,7.000
310,7.000
311,7.000
312,7.000
313,7.000
314,7.000
315,6.698
316,6.093
317,6.000
318,6.000
319,6.000
320,6.000
321,6.000
322,6.596
323,7.000
324,7.000
325,7.000
326,7.000
327,7.000
328,7.000
329,7.000
330,7.000
331,7.000
332,7.000
333,7.000
334,7.000
335,7.000
336,7.000
337,7.000
338,7.000
339,7.000
340,7.000
341,7.000
342,7.000
343,7.000
344,7.000
345,7.000
346,7.000
347,7.000
