Distance_(pixels),Gray_Value
0,9.667
1,9.667
2,9.667
3,9.667
4,9.667
5,9.667
6,9.667
7,9.667
8,9.667
9,9.667
10,9.667
11,9.667
12,9.667
13,10.974
14,11.000
15,11.000
16,11.000
17,11.000
18,11.000
19,11.000
20,11.000
21,11.000
22,11.000
23,11.000
24,11.000
25,11.000
26,11.000
27,11.000
28,11.000
29,9.725
30,9.667
31,9.667
32,9.667
33,9.667
34,9.667
35,9.667
36,9.667
37,9.667
38,9.667
39,9.667
40,9.667
41,9.667
42,9.667
43,9.667
44,9.667
45,9.667
46,9.667
47,9.667
48,9.667
49,9.667
50,9.667
51,9.667
52,9.667
53,9.667
54,9.667
55,9.667
56,9.667
57,9.667
58,9.667
59,9.667
60,9.667
61,10.876
62,11.000
63,11.000
64,11.000
65,11.000
66,11.000
67,11.000
68,11.000
69,11.000
70,11.000
71,11.000
72,11.000
73,11.000
74,11.000
75,11.000
76,11.000
77,15.120
78,15.667
79,15.667
80,15.667
81,15.667
82,15.667
83,16.832
84,17.000
85,18.758
86,19.075
87,19.997
88,20.185
89,20.240
90,20.295
91,22.631
92,23.000
93,22.141
94,24.000
95,26.330
96,28.992
97,30.501
98,34.313
99,36.662
100,37.568
101,42.168
102,44.727
103,45.000
104,46.964
105,47.333
106,49.570
107,50.000
108,51.848
109,43.979
110,39.547
111,37.061
112,34.454
113,32.896
114,30.738
115,29.233
116,27.078
117,23.652
118,23.000
119,22.181
120,22.000
121,19.824
122,19.333
123,18.520
124,18.333
125,17.253
126,17.000
127,15.924
128,15.667
129,15.667
130,15.667
131,13.798
132,13.333
133,14.397
134,14.667
135,16.521
136,17.526
137,20.168
138,22.571
139,24.051
140,27.973
141,47.099
142,58.721
143,63.680
144,69.335
145,77.162
146,86.002
147,90.588
148,96.076
149,101.026
150,102.503
151,102.667
152,102.667
153,100.621
154,100.000
155,99.236
156,99.000
157,89.358
158,86.333
159,83.806
160,80.226
161,72.789
162,66.145
163,59.903
164,55.581
