Distance_(pixels),Gray_Value
0,13.333
1,13.312
2,13.623
3,13.935
4,17.101
5,17.154
6,18.739
7,20.545
8,22.319
9,24.081
10,25.351
11,26.619
12,27.148
13,27.106
14,27.527
15,27.471
16,27.643
17,27.601
18,27.558
19,27.515
20,26.808
21,26.762
22,26.719
23,26.676
24,26.632
25,26.589
26,26.546
27,26.503
28,25.272
29,25.250
30,25.236
31,25.221
32,25.207
33,25.193
34,25.178
35,24.915
36,23.346
37,22.869
38,22.879
39,22.735
40,22.394
41,22.318
42,21.721
43,21.780
44,18.232
45,16.923
46,15.993
47,14.681
48,12.359
49,11.345
50,9.737
51,8.679
52,6.362
53,6.004
54,6.000
55,6.000
56,6.000
57,6.000
58,6.000
59,6.000
60,3.042
61,3.000
62,3.000
63,3.000
64,3.000
65,3.000
66,3.000
67,3.000
68,4.312
69,4.333
70,5.645
71,6.129
72,6.804
73,7.557
74,8.647
75,8.667
76,13.607
77,13.674
78,15.289
79,15.298
80,16.585
81,17.319
82,17.715
83,18.201
84,24.478
85,24.666
86,25.368
87,26.232
88,27.311
89,27.714
90,28.973
91,29.627
92,33.896
93,34.971
94,34.982
95,36.522
96,36.596
97,37.763
98,37.885
99,38.714
100,39.567
101,39.530
102,39.473
103,39.415
104,39.358
105,39.300
106,39.243
107,39.185
108,39.128
109,39.070
110,39.013
111,38.956
112,38.898
113,38.841
114,38.783
115,38.726
116,36.722
117,36.935
118,36.887
119,36.547
120,36.495
121,35.932
122,35.866
123,35.703
124,36.304
125,34.886
126,33.330
127,30.676
128,28.713
129,27.443
130,25.394
131,24.420
132,19.761
133,18.932
134,18.315
135,17.334
136,15.996
137,15.952
138,14.691
139,14.341
140,10.468
141,9.689
142,9.667
143,8.700
144,8.667
145,8.022
146,8.275
147,7.419
148,8.623
149,8.667
150,9.879
151,12.004
152,13.345
153,15.264
154,16.853
155,17.529
156,22.865
157,23.473
158,26.221
159,27.895
160,30.345
161,32.622
162,33.805
163,35.737
164,39.625
165,40.810
166,42.398
167,44.198
168,46.066
169,46.946
170,49.144
171,50.016
172,54.366
173,55.618
174,57.506
175,59.033
176,61.837
177,62.509
178,65.101
179,66.467
180,67.201
181,67.772
182,68.657
183,68.599
184,69.456
185,70.355
186,70.256
187,70.078
188,70.850
189,70.706
190,70.520
191,70.333
192,70.234
193,70.065
194,70.154
195,69.987
196,69.702
197,69.305
198,69.115
199,67.981
200,66.681
201,66.148
202,64.917
203,64.398
204,61.757
205,60.199
206,58.384
207,56.723
208,55.363
209,53.241
210,52.073
211,51.241
212,47.130
213,46.163
214,43.977
215,42.249
216,39.737
217,37.837
218,35.748
219,34.425
220,27.068
221,25.145
222,24.395
223,23.824
224,22.202
225,21.909
226,21.323
227,20.947
228,25.279
229,27.135
230,28.276
231,31.782
232,34.206
233,36.815
234,40.370
235,42.074
236,48.669
237,50.868
238,54.055
239,57.631
240,61.486
241,64.580
242,67.140
243,69.341
244,75.616
245,79.961
246,86.797
247,93.527
248,100.766
249,106.739
250,111.387
251,113.576
252,111.552
253,114.058
254,117.674
255,121.127
256,123.376
257,123.994
258,123.450
259,122.764
260,121.226
261,122.847
262,124.561
263,126.023
264,127.904
265,129.072
266,129.948
267,130.467
268,130.625
269,132.914
270,134.707
271,137.812
272,138.142
273,137.478
274,135.632
275,133.786
276,134.274
277,135.229
278,135.632
279,135.677
280,137.840
281,142.553
282,149.127
283,153.183
284,156.392
285,156.721
286,160.834
287,167.856
288,176.423
289,182.650
290,186.342
291,187.784
292,194.100
293,195.023
294,196.501
295,198.248
296,200.154
297,198.390
298,193.451
299,187.776
300,192.861
301,197.801
302,202.782
303,203.833
304,201.936
305,197.729
306,195.826
307,195.424
308,196.586
309,191.666
310,187.136
311,184.805
312,179.685
313,173.541
314,172.542
315,175.072
316,177.519
317,177.428
318,176.357
319,174.356
320,171.893
321,168.812
322,165.454
323,163.630
324,157.849
325,157.623
326,155.949
327,154.656
328,152.237
329,151.757
330,151.046
331,150.609
332,146.907
333,144.179
334,143.458
335,143.830
336,146.255
337,147.069
338,146.136
339,144.851
340,139.970
341,138.509
342,137.965
343,136.845
344,136.345
345,136.104
346,135.559
347,135.216
348,128.428
349,126.735
350,126.968
351,128.492
352,129.835
353,127.351
354,122.411
355,117.364
356,113.813
357,115.012
358,118.981
359,121.517
360,118.637
361,112.504
362,105.100
363,99.212
364,95.925
365,94.446
366,94.125
367,94.397
368,94.348
369,90.200
370,83.499
371,78.399
372,61.439
373,56.344
374,52.784
375,49.568
376,47.382
377,43.329
378,37.360
379,32.464
380,30.113
381,28.422
382,26.941
383,25.072
384,23.052
385,21.344
386,20.094
387,19.198
388,18.759
389,18.388
390,19.313
391,19.682
392,20.853
393,21.765
394,22.591
395,24.026
396,29.561
397,31.190
398,33.332
399,35.168
400,37.712
401,39.509
402,40.573
403,43.084
404,50.657
405,53.203
406,54.473
407,55.928
408,58.087
409,59.282
410,61.334
411,62.126
412,64.265
413,64.468
414,64.464
415,65.015
416,65.049
417,65.020
418,64.963
419,64.841
420,71.036
421,71.532
422,70.480
423,68.005
424,66.630
425,64.728
426,63.538
427,62.490
428,61.530
429,61.213
430,61.096
431,60.996
432,60.895
433,60.795
434,60.694
435,60.218
436,56.076
437,54.882
438,54.767
439,54.216
440,54.389
441,53.728
442,53.417
443,52.869
444,48.418
445,46.946
446,45.984
447,43.874
448,42.020
449,40.064
450,39.097
451,37.748
452,30.583
453,28.455
454,27.223
455,25.510
456,23.555
457,21.978
458,20.309
459,18.621
460,11.793
461,9.829
462,8.221
463,7.415
464,5.849
465,5.644
466,4.460
467,4.313
468,4.330
469,4.333
470,5.408
471,5.650
472,6.406
473,6.646
474,7.664
475,8.271
476,11.960
477,12.389
478,13.256
479,13.346
480,14.602
481,15.292
482,15.876
483,16.222
484,18.436
485,20.179
486,21.552
487,23.891
488,26.060
489,28.466
490,30.437
491,32.072
492,33.142
