Distance_(pixels),Gray_Value
0,76.6667
1,76.1967
2,76.0000
3,76.0000
4,76.0000
5,76.0000
6,76.0000
7,76.0000
8,76.0000
9,76.0000
10,76.0000
11,76.0000
12,76.0000
13,76.0000
14,76.0000
15,76.0000
16,76.0000
17,76.0000
18,76.0000
19,76.0000
20,76.0000
21,76.0000
22,76.0000
23,76.2146
24,76.9420
25,77.2754
26,76.3734
27,76.0000
28,76.0000
29,76.0000
30,76.0000
31,76.0000
32,76.0000
33,76.0000
34,76.0000
35,76.0000
36,76.0000
37,76.0000
38,76.0000
39,76.0000
40,76.0000
41,76.0000
42,76.0000
43,76.0000
44,76.0000
45,76.0000
46,76.0157
47,75.6667
48,75.6667
49,75.6667
50,75.6667
51,75.6667
52,75.6667
53,75.6667
54,75.6667
55,75.6667
56,75.6667
57,75.6667
58,75.7931
59,76.5182
60,76.1057
61,75.6667
62,75.6667
63,75.6667
64,75.7382
65,75.6667
66,75.6667
67,75.6667
68,75.6667
69,75.6667
70,75.4688
71,76.3567
72,76.4255
73,76.6667
74,76.8354
75,77.5404
76,77.0879
77,76.6667
78,76.6667
79,76.6667
80,76.5662
81,76.6667
82,76.6667
83,76.3667
84,75.7814
85,75.0764
86,75.0000
87,75.0000
88,75.0000
89,75.0000
90,74.5515
91,74.0000
92,74.2233
93,74.9867
94,75.0000
95,75.0000
96,75.0000
97,75.0000
98,75.0000
99,75.2255
100,75.9349
101,76.0000
102,76.0000
103,75.7956
104,75.6667
105,75.6667
106,75.8576
107,76.5670
108,76.6667
109,76.6667
110,76.6383
111,75.9289
112,75.6667
113,75.6667
114,76.0348
115,76.5935
116,75.8254
117,75.1866
118,74.6667
119,74.7108
120,74.6667
121,74.9697
122,75.6667
123,75.8448
124,76.6430
125,76.5437
126,75.8387
127,75.6667
128,75.6667
129,75.6667
130,75.6667
131,75.6667
132,75.6667
133,75.6667
134,75.6667
135,75.6667
136,75.6667
137,75.6667
138,75.6667
139,75.6667
140,75.6667
141,75.6667
142,75.6667
143,75.6667
144,75.6667
145,75.6667
146,75.6667
147,75.6667
148,75.6667
149,75.6667
150,75.5326
151,75.3333
152,75.3333
153,75.3333
154,75.3333
155,75.3333
156,75.5528
157,75.6667
