Distance_(pixels);Gray_Value;X_Fit:_Gaussian;Fit:_Gaussian
0;87.333;0.000;101.1842
1;88.277;1.184;101.1842
2;89.030;2.368;101.1842
3;89.333;3.553;101.1842
4;89.333;4.737;101.1842
5;89.448;5.921;101.1842
6;89.738;7.105;101.1842
7;90.000;8.289;101.1842
8;90.000;9.473;101.1842
9;90.000;10.658;101.1842
10;90.000;11.842;101.1842
11;90.000;13.026;101.1842
12;90.000;14.210;101.1842
13;90.714;15.394;101.1842
14;91.000;16.579;101.1842
15;91.000;17.763;101.1842
16;91.000;18.947;101.1842
17;91.000;20.131;101.1842
18;91.000;21.315;101.1842
19;91.000;22.500;101.1842
20;91.000;23.684;101.1842
21;91.000;24.868;101.1842
22;91.000;26.052;101.1842
23;91.000;27.236;101.1842
24;91.000;28.420;101.1842
25;91.000;29.605;101.1842
26;90.571;30.789;101.1842
27;90.000;31.973;101.1842
28;90.000;33.157;101.1842
29;90.000;34.341;101.1842
30;89.967;35.526;101.1842
31;89.066;36.710;101.1842
32;89.000;37.894;101.1842
33;89.338;39.078;101.1842
34;89.918;40.262;101.1842
35;90.634;41.446;101.1842
36;91.282;42.631;101.1842
37;92.000;43.815;101.1842
38;92.000;44.999;101.1842
39;91.857;46.183;101.1842
40;91.363;47.367;101.1842
41;91.045;48.552;101.1842
42;91.000;49.736;101.1842
43;91.000;50.920;101.1842
44;90.352;52.104;101.1842
45;90.000;53.288;101.1842
46;90.000;54.472;101.1842
47;90.000;55.657;101.1842
48;90.000;56.841;101.1842
49;90.000;58.025;101.1842
50;90.000;59.209;101.1842
51;90.000;60.393;101.1842
52;90.000;61.578;101.1842
53;90.000;62.762;101.1842
54;90.000;63.946;101.1842
55;90.000;65.130;101.1842
56;90.000;66.314;101.1842
57;90.000;67.498;101.1842
58;90.264;68.683;101.1842
59;91.000;69.867;101.1842
60;91.005;71.051;101.1842
61;91.487;72.235;101.1842
62;91.938;73.419;101.1842
63;91.145;74.604;101.1842
64;90.330;75.788;101.1842
65;89.325;76.972;101.1842
66;89.000;78.156;101.1842
67;89.374;79.340;101.1842
68;90.275;80.525;101.1842
69;91.000;81.709;101.1842
70;91.382;82.893;101.1842
71;91.019;84.077;101.1842
72;91.000;85.261;101.1842
73;91.000;86.445;101.1842
74;91.000;87.630;101.1842
75;91.924;88.814;101.1842
76;93.000;89.998;101.1842
77;92.615;91.182;101.1842
78;92.000;92.366;101.1842
79;91.766;93.551;101.1842
80;91.418;94.735;101.1842
81;90.678;95.919;101.1842
82;90.667;97.103;101.1842
83;90.667;98.287;101.1842
84;90.549;99.471;101.1842
85;90.972;100.656;101.1842
86;91.000;101.840;101.1842
87;91.000;103.024;101.1842
88;90.930;104.208;101.1842
89;90.265;105.392;101.1842
90;90.000;106.577;101.1842
91;90.000;107.761;101.1842
92;90.000;108.945;101.1842
93;90.272;110.129;101.1842
94;90.561;111.313;101.1842
95;90.667;112.497;101.1842
96;91.172;113.682;101.1842
97;91.667;114.866;101.1842
98;91.845;116.050;101.1842
99;92.655;117.234;101.1842
100;92.667;118.418;101.1842
101;92.650;119.603;101.1842
102;91.119;120.787;101.1842
103;91.000;121.971;101.1842
104;90.813;123.155;101.1842
105;90.379;124.339;101.1842
106;90.000;125.524;101.1842
107;90.000;126.708;101.1842
108;90.000;127.892;101.1842
109;90.000;129.076;101.1842
110;90.121;130.260;101.1842
111;91.000;131.444;101.1842
112;91.000;132.629;101.1842
113;91.000;133.813;101.1842
114;91.000;134.997;101.1842
115;91.000;136.181;101.1842
116;91.000;137.365;101.1842
117;91.000;138.550;101.1842
118;91.000;139.734;101.1842
119;91.000;140.918;101.1842
120;91.000;142.102;101.1842
121;91.000;143.286;101.1842
122;91.000;144.470;101.1842
123;91.000;145.655;101.1842
124;91.000;146.839;101.1842
125;91.000;148.023;101.1842
126;90.641;149.207;101.1842
127;90.333;150.391;101.1842
128;89.993;151.576;101.1842
129;89.345;152.760;101.1842
130;89.817;153.944;101.1842
131;90.255;155.128;101.1842
132;90.666;156.312;101.1842
133;91.301;157.496;101.1842
134;91.915;158.681;101.1842
135;91.677;159.865;101.1842
136;91.333;161.049;101.1842
137;91.484;162.233;101.1842
138;91.315;163.417;101.1842
139;90.667;164.602;101.1842
140;90.513;165.786;101.1842
141;89.667;166.970;101.1842
142;89.667;168.154;101.1842
143;89.667;169.338;101.1842
144;90.096;170.523;101.1842
145;90.667;171.707;101.1842
146;89.790;172.891;101.1842
147;89.597;174.075;101.1842
148;90.334;175.259;101.1842
149;91.405;176.443;101.1842
150;91.502;177.628;101.1842
151;90.667;178.812;101.1842
152;90.696;179.996;101.1842
153;90.985;181.180;101.1842
154;90.641;182.364;101.1842
155;90.557;183.549;101.1842
156;90.667;184.733;101.1842
157;90.881;185.917;101.1842
158;91.316;187.101;101.1842
159;91.667;188.285;101.1842
160;91.667;189.469;101.1842
161;91.667;190.654;101.1842
162;91.667;191.838;101.1842
163;91.667;193.022;101.1842
164;90.886;194.206;101.1842
165;90.667;195.390;101.1842
166;90.542;196.575;101.1842
167;90.107;197.759;101.1842
168;89.673;198.943;101.1842
169;89.667;200.127;101.1842
170;89.667;201.311;101.1842
171;89.667;202.495;101.1842
172;89.667;203.680;101.1842
173;89.945;204.864;101.1842
174;89.524;206.048;101.1842
175;88.975;207.232;101.1842
176;88.530;208.416;101.1842
177;88.543;209.601;101.1843
178;89.396;210.785;101.1843
179;90.229;211.969;101.1843
180;91.000;213.153;101.1843
181;90.936;214.337;101.1843
182;90.000;215.522;101.1843
183;90.000;216.706;101.1843
184;90.000;217.890;101.1843
185;90.000;219.074;101.1843
186;90.000;220.258;101.1843
187;90.000;221.442;101.1843
188;90.000;222.627;101.1843
189;90.118;223.811;101.1843
190;90.615;224.995;101.1843
191;90.996;226.179;101.1843
192;91.000;227.363;101.1843
193;91.000;228.548;101.1843
194;91.000;229.732;101.1843
195;91.000;230.916;101.1843
196;91.000;232.100;101.1843
197;91.000;233.284;101.1843
198;91.000;234.468;101.1843
199;91.000;235.653;101.1843
200;91.000;236.837;101.1843
201;91.000;238.021;101.1844
202;91.000;239.205;101.1844
203;91.000;240.389;101.1844
204;91.000;241.574;101.1844
205;91.000;242.758;101.1844
206;91.000;243.942;101.1844
207;91.000;245.126;101.1844
208;90.680;246.310;101.1845
209;90.461;247.494;101.1845
210;90.576;248.679;101.1845
211;91.010;249.863;101.1845
212;91.333;251.047;101.1845
213;91.333;252.231;101.1846
214;91.333;253.415;101.1846
215;91.333;254.600;101.1846
216;91.333;255.784;101.1847
217;91.202;256.968;101.1847
218;91.333;258.152;101.1848
219;90.892;259.336;101.1848
220;90.333;260.521;101.1849
221;90.333;261.705;101.1849
222;90.353;262.889;101.1850
223;91.175;264.073;101.1850
224;91.333;265.257;101.1851
225;91.333;266.441;101.1852
226;90.989;267.626;101.1853
227;90.876;268.810;101.1854
228;91.000;269.994;101.1854
229;91.000;271.178;101.1856
230;91.000;272.362;101.1857
