Distance_(pixels);Gray_Value
0;82.3333
1;82.3333
2;82.3333
3;82.5833
4;83.3333
5;83.3333
6;83.3333
7;83.3333
8;83.3333
9;83.3333
10;83.6667
11;84.0000
12;84.0000
13;84.0000
14;84.0000
15;84.0000
16;84.0000
17;84.0000
18;84.0000
19;84.0000
20;84.0000
21;84.0000
22;84.0000
23;84.0000
24;84.0000
25;84.0000
26;83.5000
27;83.0000
28;83.0000
29;83.6748
30;83.5179
31;83.0833
32;82.3333
33;82.3333
34;82.3333
35;82.3333
36;82.3333
37;82.3333
38;82.3333
39;82.3333
40;82.3333
41;82.3333
42;82.4441
43;82.3333
44;82.3333
45;82.3333
46;82.3333
47;82.3333
48;82.3333
49;82.3333
50;82.3333
51;82.3333
52;82.3333
53;82.0295
54;81.2848
55;81.0000
56;81.0000
57;81.0000
58;81.0000
59;81.0000
60;81.0000
61;81.0000
62;81.0000
63;81.0000
64;81.0000
65;81.0000
66;81.4346
67;81.6667
68;81.6667
69;81.0306
70;80.6667
71;80.6667
72;81.2869
73;81.6667
74;81.6667
75;81.6667
76;81.6667
77;81.6667
78;81.0781
79;80.9167
80;81.6667
81;81.6667
82;81.6667
83;81.6667
84;81.1097
85;80.6667
86;80.6667
87;80.5000
88;80.0000
89;80.0000
90;80.1751
91;80.3333
92;80.3333
93;80.3333
94;80.3333
95;80.0833
96;79.3333
97;79.3333
98;79.3333
99;79.3333
100;79.3333
101;79.3333
102;79.3333
103;79.3333
104;79.3333
105;80.1949
106;79.8333
107;79.3333
108;78.9030
109;78.3333
110;78.3333
111;78.0224
112;78.3333
113;78.3333
114;78.6340
115;78.3333
116;78.3333
117;78.3333
118;78.3333
119;78.3333
120;78.3333
121;78.3333
122;78.3333
123;78.3333
124;78.3333
125;78.3333
126;78.3333
127;78.3333
128;78.3333
129;78.3333
130;77.8333
131;77.3333
132;77.3333
133;78.0833
134;78.3333
135;78.0833
136;77.3333
137;77.3333
138;77.6973
139;77.3998
140;77.3333
141;77.3333
142;77.3333
143;77.4167
144;77.6667
145;77.6667
146;77.6667
147;77.6667
148;77.6667
149;77.9167
150;78.0000
151;78.0000
152;78.0000
153;78.0000
154;78.0000
155;78.0000
156;78.0000
157;78.0000
158;78.0000
159;78.0000
160;78.0000
161;78.0000
162;78.1424
163;78.2661
164;79.0000
165;78.8703
166;78.1044
167;78.0000
168;78.0000
169;78.0000
170;78.5000
171;79.0000
172;79.0000
173;79.5000
174;79.6667
175;79.6667
176;79.6667
177;79.6224
178;79.3027
179;79.3333
180;79.3333
181;79.0833
182;79.1867
183;80.0000
184;80.0000
185;80.0000
186;80.0316
187;81.2671
188;82.0084
189;82.9198
190;83.6646
191;84.0000
192;84.0000
193;84.0000
194;84.1667
195;84.3333
196;84.7553
197;85.2943
198;85.9779
199;86.3919
200;87.3333
201;87.5683
202;87.8333
203;88.2980
204;88.6667
205;89.1057
206;89.6667
207;89.7500
208;90.1899
209;90.3333
210;90.5000
211;91.2205
212;91.7384
213;92.9589
214;93.8713
215;94.6160
216;95.5274
217;95.6667
218;95.6667
219;95.6667
220;96.3418
221;97.1258
222;97.8291
223;98.2468
224;99.7173
225;99.9844
226;99.8333
227;100.2534
228;101.3333
229;101.7922
230;102.6667
231;102.6667
232;102.6667
233;103.4689
234;103.5886
235;103.0841
236;103.0000
237;103.2500
238;103.3333
239;103.3333
240;103.3333
241;104.3470
242;104.6667
243;104.3333
244;104.3333
245;105.5833
246;106.0000
247;106.0000
248;106.0000
249;106.0000
250;106.6160
251;107.6667
252;107.6667
253;107.2497
254;107.3312
255;107.4167
256;107.6667
257;107.6667
258;107.9399
259;108.1002
260;108.3207
261;108.5411
262;108.6667
263;108.6667
264;108.6667
265;108.9391
266;109.1667
267;109.3333
268;109.4177
269;109.8882
270;110.0960
271;110.3333
272;110.3333
273;110.3333
274;110.7405
275;111.0000
276;111.5443
277;111.4657
278;111.3333
279;111.0833
280;110.3966
281;110.6171
282;110.5000
283;110.3913
284;110.6118
285;109.9167
286;109.6667
287;109.6667
288;109.8270
289;110.0000
290;110.0000
291;110.0000
292;110.0844
293;109.8813
294;109.6667
295;109.6667
296;109.6667
297;109.6667
298;109.1192
299;108.6667
300;108.6667
301;109.1667
302;109.3333
303;109.3333
304;109.3333
305;109.3333
306;109.5000
307;109.6667
308;109.6667
309;109.2592
310;109.3650
311;110.0264
312;110.3333
313;110.3333
314;110.5591
315;111.0000
316;111.0000
317;110.3386
318;110.0000
319;110.2460
320;111.2152
321;110.1996
322;109.1983
323;108.7500
324;107.7089
325;107.0119
326;107.5000
327;109.0253
328;111.9367
329;113.3006
330;113.2774
331;111.4760
332;108.2489
333;106.9230
334;103.7616
335;102.7244
336;103.4894
337;108.4459
338;110.4346
339;109.4090
340;107.0000
341;105.4478
342;104.9019
343;106.0364
344;105.9620
345;108.3157
346;112.5253
347;113.2373
348;109.2025
349;97.9589
350;90.1519
351;87.5564
352;94.3333
353;94.5691
354;93.2532
355;97.9697
356;105.0970
357;115.5585
358;112.9968
359;102.0214
360;95.2911
361;92.3394
362;85.8302
363;81.9744
364;79.1857
365;83.4594
366;88.7764
367;83.5992
368;85.1181
369;93.3555
370;110.4219
371;120.2337
372;115.0506
373;92.6677
374;80.5949
375;76.2967
376;91.1435
377;102.4921
378;99.8681
379;99.8439
380;101.7764
381;100.9589
382;101.3629
383;105.9409
384;105.6329
385;86.8249
386;84.1456
387;87.7189
388;88.1013
389;88.1102
390;85.5949
391;81.0841
392;80.0211
393;83.7439
394;88.1276
395;87.2500
396;85.1772
397;83.8228
398;84.4863
399;87.0250
400;87.7806
401;87.7529
402;86.6203
403;86.3333
404;86.1308
405;85.5034
406;86.3418
407;87.5100
408;88.6667
409;89.1667
410;89.6097
411;89.4591
412;88.8397
413;88.2558
414;87.5918
415;87.0944
416;87.2869
417;87.0665
418;87.4357
419;87.8025
420;88.5485
421;90.0936
422;91.5538
423;92.9101
424;93.4768
425;93.6667
426;93.3333
427;92.9655
428;92.7426
429;93.6010
430;93.4335
431;93.0633
432;92.0928
433;91.2500
434;90.6593
435;89.9560
436;89.0886
437;89.1643
438;89.3333
439;89.6756
440;90.0042
441;90.2247
442;90.6667
443;91.1661
444;91.8861
445;92.7930
446;93.6477
447;94.8626
448;96.0000
449;96.7500
450;97.5221
451;98.4887
452;98.6160
453;96.7460
454;96.0000
455;95.6888
456;94.6667
457;94.4103
458;94.0686
459;94.0438
460;94.4135
461;94.9330
462;96.0000
463;97.4167
464;98.6667
465;97.9823
466;97.8333
467;98.0216
468;98.3544
469;98.3919
470;98.8544
471;99.4404
472;99.9620
473;99.8950
474;100.0000
475;100.2447
476;100.1561
477;100.9386
478;101.5000
479;101.0512
480;100.4894
481;100.7964
482;100.9578
483;100.2141
484;99.5527
485;100.1413
486;100.5517
487;101.8383
488;103.4262
489;104.4167
490;104.3333
491;104.4937
492;104.5401
493;105.3998
494;106.0612
495;106.0000
496;105.0000
497;104.4660
498;103.5643
499;102.6203
500;101.7384
501;100.7308
502;101.4030
503;101.9502
504;95.6751
505;99.3605
506;101.3787
507;102.0243
508;104.6413
509;111.0786
510;118.8059
511;116.4805
512;112.4979
513;112.7162
514;123.8354
515;130.2197
516;116.1603
517;128.8660
518;129.4124
519;116.6044
520;108.7806
521;97.5493
522;97.6930
523;100.6553
524;106.6709
525;99.7065
526;101.2036
527;125.5823
528;130.2152
529;115.2247
530;97.5907
531;104.3705
532;124.1308
533;119.6007
534;112.9620
535;117.4262
536;111.4852
537;116.8302
538;113.5665
539;102.7642
540;102.4304
541;135.7832
542;135.0781
543;129.9130
544;134.2152
545;138.9937
546;135.8629
547;125.5311
548;126.4346
549;138.5612
550;138.7806
551;134.1543
552;135.8354
553;146.5208
554;139.3165
555;140.1593
556;155.2532
557;150.6102
558;137.8333
559;137.7584
560;140.2743
561;136.6543
562;139.7743
563;141.4383
564;136.8481
565;134.9249
566;133.3270
567;137.3492
568;142.7806
569;149.7484
570;149.3439
571;135.0617
572;128.2152
573;134.2397
574;138.0127
575;146.0522
576;145.6203
577;136.8344
578;133.7690
579;134.2458
580;146.4979
581;137.6561
582;137.1825
583;148.6711
584;152.4051
585;144.6872
586;145.1361
587;141.6297
588;133.9958
589;145.3143
590;149.4451
591;148.1780
592;141.3629
593;133.5295
594;137.3006
595;143.4098
596;143.5148
597;137.9984
598;138.6793
599;138.7526
600;140.6076
601;156.6996
602;144.7658
603;126.8310
604;136.1814
605;139.4868
606;132.6076
607;121.2922
608;128.2616
609;166.3618
610;172.4778
611;162.6002
612;141.4599
613;128.2194
614;136.2268
615;154.3581
616;150.8523
617;150.2977
618;133.1519
